"1640781443.0930655 2021-12-29 06:37:23.093065 b'{""type"":""eeg""",data:[14.0093975,-16.066973,-22.237858,56.99231,-15.995163,-59.33533,92.961655,39.56232,-134.0822,52.316868,86.3503,-237.8423,-7.903737,86.03769,-119.18631,-168.25243]}\r\n'
"1640781443.1950614 2021-12-29 06:37:23.195061 b'{""type"":""eeg""",data:[3.3629096,15.77522,27.21705,45.027885,59.60198,62.738987,58.361645,63.54293,48.593052,27.660828,-11.888928,-75.007195,-56.97123,-205.79688,-202.97989,-335.36987]}\r\n'
"1640781443.2820609 2021-12-29 06:37:23.282060 b'{""type"":""eeg""",data:[-12.353082,-25.427647,-9.064991,39.97945,85.54225,29.687527,-34.059704,-118.06823,-66.74248,15.816486,90.981346,115.94694,6.9133673,-200.65051,-235.57474,-138.06746]}\r\n'
"1640781443.377061 2021-12-29 06:37:23.377060 b'{""type"":""eeg""",data:[-11.235025,-29.705133,-25.460613,12.511615,60.677372,91.837006,28.629198,-61.600666,-69.43278,-136.11913,-55.51909,41.489212,271.0724,53.337723,23.533741,-251.73866]}\r\n'
"1640781443.4590607 2021-12-29 06:37:23.459060 b'{""type"":""eeg""",data:[5.254098,-18.32417,35.07277,-64.18014,52.73562,-82.626526,55.126904,-54.54466,15.293027,35.104527,-88.542816,190.88457,-167.54498,324.27173,-293.77435,227.66713]}\r\n'
"1640781443.5340621 2021-12-29 06:37:23.534062 b'{""type"":""eeg""",data:[13.632244,2.0360758,-47.990356,-5.750995,77.70505,9.879884,-122.252396,-11.392652,94.38556,16.381468,-110.98627,-45.687107,166.43527,62.30599,-126.345375,-37.994556]}\r\n'
"1640781443.6180613 2021-12-29 06:37:23.618061 b'{""type"":""eeg""",data:[3.6334891,14.344203,30.757132,55.539673,87.399254,91.34752,104.208626,86.54257,71.90344,22.801434,-19.139,-51.559784,-176.23238,-252.30742,-278.89453,-105.99476]}\r\n'
"1640781443.7100623 2021-12-29 06:37:23.710062 b'{""type"":""eeg""",data:[1.7218404,9.012547,19.981392,28.22402,63.37407,61.401237,75.65414,80.87083,151.40779,165.47372,224.20207,133.54895,153.09486,180.53009,114.2366,21.431828]}\r\n'
"1640781443.8110616 2021-12-29 06:37:23.811061 b'{""type"":""eeg""",data:[-10.47356,25.252907,-17.13514,-24.01729,60.81701,-45.263706,-14.000564,126.21126,-138.75232,19.484634,127.16707,-211.73314,73.97519,101.19133,-214.14937,234.83344]}\r\n'
"1640781443.9100618 2021-12-29 06:37:23.910061 b'{""type"":""eeg""",data:[14.615421,2.0981593,-40.789078,-6.2496324,75.855484,12.394959,-96.3155,-17.452278,118.48864,19.549353,-174.52312,-16.672428,170.66438,75.01034,-250.91241,-57.171642]}\r\n'
"1640781444.0060616 2021-12-29 06:37:24.006061 b'{""type"":""eeg""",data:[14.428039,2.209821,-39.580704,-4.6936717,73.20342,13.261588,-69.99309,-13.779433,109.35217,24.530022,-86.612816,-21.690964,170.19922,34.1642,-134.07027,-59.560944]}\r\n'
